phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
TOF	exec	1	20071226-0	Canadair CL-600-2B16 Challenger 604	Jet Connection Business Flight	ALA	BKK	Almaty Airport (ALA/UAAA), Kazakhstan	Bangkok-Suvarnabhumi International Airport (BKK/VTBS), Thailand
APR	military	5	20071230-0	GAF Nomad N.22B	Tentara Nasional Indonesia-AL (Navy)	SBG	MES	Sabang-Maimun Saleh Airport (SBG/WITB), Indonesia	Medan-Polonia Airport (MES/WIMM), Indonesia
ENR	passDomestic	102	20070101-0	Boeing 737-4Q8	AdamAir	SUB	MDC	Surabaya-Juanda Airport (SUB/WARR), Indonesia	Manado-Sam Ratulangi Airport (MDC/WAMM), Indonesia
APR	passInternational	34	20070109-0	Antonov 26B-100	Aeriantur-M Airlines	ADA		Adana Airport (ADA/LTAF), Turkey	Balad AB, Iraq
ENR	other	1	20080111-0	Antonov 2R	Letalska sola Solt		MBX	entvid pri Sticni Airfield, Slovenia	Maribor Airport (MBX/LJMB), Slovenia
APR	cargo	1	20080114-0	Beechcraft 1900C-1	Alpine Aviation	HNL	LIH	Honolulu International Airport, HI (HNL/PHNL), United States of America	Kauai Island/Lihue Airport, HI (LIH/PHLI), United States of America
APR	passDomestic	13	20080119-0	Beechcraft B200 Super King Air	Gira Globo	LAD	NOV	Luanda Airport (LAD/FNLU), Angola	Huambo Airport (NOV/FNHU), Angola
APR	military	20	20080123-0	CASA C-295M	Polish Air Force	EPKS	EPMI	Poznán-Krzesiny AB (EPKS), Poland	Miroslawiec AB (EPMI), Poland
ENR	cargo	3	20080126-0	CASA/IPTN NC-212 Aviocar 200	Dirgantara Air Services	TRK	LPU	Tarakan-Juwata Airport (TRK/WALR), Indonesia	Long Apung Airport (LPU/WALP), Indonesia
ENR	private	2	20080201-1	Cessna 525 CitationJet CJ1	J. Symons	AUG	LNK	Augusta State Airport, ME (AUG/KAUG), United States of America	Lincoln Municipal Airport, NE (LNK/KLNK), United States of America
ENR	other	3	20080218-0	Cessna 650 Citation III	private	VLN	PZO	Valencia-Arturo Michelena International Airport (VLN/SVVA), Venezuela	Puerto Ordaz/Ciudad Guayana-General Manuel Carlos Piar Airport (PZO/SVPR), Venezuela
ENR	passDomestic	46	20080221-0	ATR-42-300	Santa Bárbara Airlines	MRD	CCS	Mérida-A Carnevalli Airport (MRD/SVMD), Venezuela	Caracas-Simón Bolívar International Airport (CCS/SVMI), Venezuela
ENR	exec	5	20080304-0	Cessna 500 Citation I	Interstate Helicopters	PWA	MKT	Oklahoma City-Wiley Post Airport, OK (PWA/KPWA), United States of America	Mankato Municipal Airport, MN (MKT/KMKT), United States of America
ENR	other	3	20080315-0	Beechcraft 1900D	Wings Aviation	LOS		Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria	Bebi Airstrip, Nigeria
APR	private	5	20080330-0	Cessna 500 Citation I	private	BQH	PUF	London-Biggin Hill Airport (BQH/EGKB), United Kingdom	Pau-Uzein Airport (PUF/LFBP), France
ENR	passDomestic	19	20080403-0	Antonov 28	Blue Wing Airlines	ORG		Paramaribo-Zorg en Hoop Airport (ORG/SMZO), Suriname	Lawa-Antino Airport, Suriname
ICL	private	2	20080403-1	Reims Cessna F406 Caravan II	Auric Air	MWZ	MWZ	Mwanza Airport (MWZ/HTMW), Tanzania	Mwanza Airport (MWZ/HTMW), Tanzania
UNK	military	5	20080408-0	Antonov 26	Vietnam Air Force	VVGL	VVGL	Hanoi-Gia Lam Airport (VVGL), Vietnam	Hanoi-Gia Lam Airport (VVGL), Vietnam
ENR	cargo	1	20080409-0	Swearingen SA227-AC Metro III	Airtex Aviation	SYD	BNE	Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY), Australia	Brisbane International Airport, QLD (BNE/YBBN), Australia
APR	other	8	20080411-0	Antonov 32B	Kata Air Transport	KIV	AYT	Chisinau Airport (KIV/LUKK), Moldova	Antalya Airport (AYT/LTAI), Turkey
TOF	passDomestic	40	20080415-0	McDonnell Douglas DC-9-51	Hewa Bora Airways	GOM	FKI	Goma Airport (GOM/FZNA), Congo (Democratic Republic)	Kisangani Airport (FKI/FZIA), Congo (Democratic Republic)
LDG	passDomestic	13	20080416-0	Antonov 32	Equatorial Guinea National Guard	BSG		Bata Airport (BSG/FGBT), Equatorial Guinea	?
ENR	passDomestic	21	20080502-0	Beechcraft 1900C		WUU	RBX	Wau Airport (WUU/HSWW), South Sudan	Rumbek Airport (RBX/HSMK), South Sudan
UNK	other	1	20080510-0	Antonov 2	Victor Avia			?	?
ICL	cargo	1	20080523-0	Beechcraft 1900C	Alpine Aviation	BIL	GTF	Billings-Logan International Airport, MT (BIL/KBIL), United States of America	Great Falls International Airport, MT (GTF/KGTF), United States of America
APR	other	9	20080526-0	Antonov 12BP	Moskovia Airlines	CEK	PEE	Chelyabinsk Airport (CEK/USCC), Russia	Perm Airport (PEE/USPP), Russia
LDG	passInternational	5	20080530-0	Airbus A320-233	TACA International Airlines	SAL	TGU	San Salvador-Comalapa International Airport (SAL/MSLP), El Salvador	Tegucigalpa-Toncontin Airport (TGU/MHTG), Honduras
UNK	other	2	20080607-0	Antonov 2R	private			?	?
ENR	passDomestic	1	20080607-1	Cessna 208B Grand Caravan	Patagonia Airlines	SCPF	SCLJ	Puerto Montt-Marcel Marchant Airport (SCPF), Chile	La Junta Airport (SCLJ), Chile
LDG	passInternational	30	20080610-0	Airbus A310-324	Sudan Airways	DAM	KRT	Damascus International Airport (DAM/OSDI), Syria	Khartoum-Civil Airport (KRT/HSSS), Sudan
ENR	other	3	20080615-0	Harbin Yunshuji Y-12-II	China Flying Dragon Aviation			?	?
TOF	cargo	1	20080618-0	de Havilland Canada DHC-6 Twin Otter 100	Wiggins Airways	HYA	ACK	Hyannis-Barnstable Airport, MA (HYA/KHYA), United States of America	Nantucket Memorial Airport, MA (ACK/KACK), United States of America
ENR	military	18	20080626-0	CASA/Nurtanio NC-212-M Aviocar 200	Tentara Nasional Indonesia-AU (Air Force)	HLP		Jakarta-Halim Perdana Kusuma Airport (HLP/WIHH), Indonesia	Bogor-Atang Senjaya AB, Indonesia
ENR	other	5	20080627-0	Antonov 2	Avialesookhrana			Bolshoe Gryzlovo Airport, Russia	?
TOF	cargo	4	20080630-0	Ilyushin 76TD	Ababeel Aviation	KRT	JUB	Khartoum-Civil Airport (KRT/HSSS), Sudan	Juba Airport (JUB/HSSJ), South Sudan
ENR	cargo	7	20080627-1	Antonov 12BK	Juba Air Cargo	KRT	JUB	Khartoum-Civil Airport (KRT/HSSS), Sudan	Juba Airport (JUB/HSSJ), South Sudan
ENR	military	3	20080702-0	de Havilland Canada DHC-6 Twin Otter 300	Fuerza Aérea de Chile	PMC	PMC	Puerto Montt-Tepual Airport (PMC/SCTE), Chile	Puerto Montt-Tepual Airport (PMC/SCTE), Chile
APR	cargo	1	20080706-0	McDonnell Douglas DC-9-15F	USA Jet Airlines	SHV	SLW	Shreveport Regional Airport, LA (SHV/KSHV), United States of America	Saltillo-Plan de Guadalupe International Airport (SLW/MMIO), Mexico
APR	passDomestic	9	20080710-0	Beechcraft 99A	Aerocord	SCPF	SCMK	Puerto Montt-Marcel Marchant Airport (SCPF), Chile	Melinka Airport (SCMK), Chile
APR	exec	8	20080731-0	British Aerospace BAe-125-800A	East Coast Jets	ACY	OWA	Atlantic City International Airport, NJ (ACY/KACY), United States of America	Owatonna Airport, MN (OWA/KOWA), United States of America
ENR	private	1	20080818-0	Cessna 501 Citation I/SP	Corus Hardware Corporation	SDQ	SIG	Santo Domingo-Las Américas International Airport (SDQ/MDSD), Dominican Republic	San Juan-Isla Grande Airport (SIG/TJIG), Puerto Rico
APR	cargo	3	20080813-0	Fokker F-27 Friendship 500	Fly540	NBO		Nairobi-Jomo Kenyatta International Airport (NBO/HKNA), Kenya	K-50 Airport, Somalia
TOF	passDomestic	154	20080820-0	McDonnell Douglas MD-82	Spanair	MAD	LPA	Madrid-Barajas Airport (MAD/LEMD), Spain	Las Palmas-Airport de Gran Canaria (LPA/GCLP), Spain
ICL	private	10	20080822-0	Beechcraft A100 King Air		CNY	CDC	Moab-Canyonlands Field, UT (CNY), United States of America	Cedar City Airport, UT (CDC/KCDC), United States of America
APR	passInternational	65	20080824-0	Boeing 737-219	Itek Air	FRU	IKA	Bishkek-Manas International Airport (FRU/UAFM), Kyrgyzstan	Tehran-Imam Khomeini International Airport (IKA/OIIE), Iran
ENR	passInternational	11	20080824-1	Cessna 208 Caravan I	Aéreo Ruta Maya	GUA		Guatemala City-La Aurora Airport (GUA/MGGT), Guatemala	El Estor Airport, Guatemala
ENR	military	11	20080825-0	Lockheed L-100-20 Hercules	Hukbong Himpapawid ng Pilipinas (Philippine Air Force)	DVO	ILO	Davao Airport (DVO/RPMD), Philippines	Iloilo-Mandurriao Airport (ILO/RPVI), Philippines
ENR	other	3	20080830-0	Boeing 737-291	Conviasa	CCS	SELT	Caracas-Simón Bolívar International Airport (CCS/SVMI), Venezuela	Latacunga Airport (SELT), Ecuador
ENR	other	3	20080901-0	Convair CV-580	Air Tahoma	LCK	MFD	Columbus-Rickenbacker International Airport, OH (LCK/KLCK), United States of America	Mansfield-Lahm Municipal Airport, OH (MFD/KMFD), United States of America
APR	passDomestic	17	20080901-1	Beechcraft 1900C-1		FKI	BKY	Kisangani Airport (FKI/FZIA), Congo (Democratic Republic)	Bukavu-Kavumu Airport (BKY/FZMA), Congo (Democratic Republic)
TOF	exec	4	20080919-0	Learjet 60	Global Exec Aviation	CAE	VNY	Columbia Metropolitan Airport, SC (CAE/KCAE), United States of America	Los Angeles-Van Nuys Airport, CA (VNY), United States of America
APR	passDomestic	88	20080914-0	Boeing 737-505	Aeroflot-Nord	SVO	PEE	Moskva-Sheremetyevo Airport (SVO/UUEE), Russia	Perm Airport (PEE/USPP), Russia
ENR	passDomestic	9	20081005-0	Britten-Norman BN-2A-26 Islander	private	MQP	FATP	Nelspruit-Kruger Mpumalanga International Airport (MQP/FAKN), South Africa	Bloemfontein/New Tempe (FATP), South Africa
LDG	passDomestic	18	20081008-0	de Havilland Canada DHC-6 Twin Otter 300	Yeti Airlines	KTM	LUA	Kathmandu-Tribhuvan Airport (KTM/VNKT), Nepal	Lukla-Tenzing-Hillary Airport (LUA/VNLK), Nepal
ICL	other	1	20081012-0	Beechcraft 100 King Air	Woolie Enterprises Inc.	BAU	SOD	Bauru Airport, SP (BAU/SBBU), Brazil	Sorocaba Airport, SP (SOD/SDCO), Brazil
ICL	other	1	20081103-0	Beechcraft 200 Super King Air	John A. Lyddon	PCV		Punta Chivato Airstrip (PCV), Mexico	?
APR	exec	16	20081104-0	Learjet 45	Mexican Government	SLP	MEX	San Luis Potosí Airport (SLP/MMSP), Mexico	Mexico City-Benito Juárez International Airport (MEX/MMMX), Mexico
ICL	cargo	7	20081113-0	Antonov 12B	British Gulf International Airlines	ORAA	SDA	Al Asad AB (ORAA), Iraq	Baghdad International Airport (SDA/ORBS), Iraq
APR	private	2	20081123-0	Beechcraft B200 Super King Air	JC Show Ltda (Banda Calypso)	THE	REC	Teresina-Senador Petrônio Portela Airport, PI (THE/SBTE), Brazil	Recife-Guararapes International Airport, PE (REC/SBRF), Brazil
APR	other	7	20081127-0	Airbus A320-232		PGF	PGF	Perpignan Airport (PGF/LFMP), France	Perpignan Airport (PGF/LFMP), France
APR	other	2	20081207-0	Learjet 23		PBC	TXA	Puebla-Huejotsingo Airport (PBC/MMPB), Mexico	Tlaxcala Airport (TXA/MMTA), Mexico
ENR	passDomestic	12	20081215-0	Britten-Norman BN-2A Trislander Mk.III-2	Línea Aérea Puertorriqueña (LAP)	STI	MYG	Santiago de los Caballeros-Cibao International Airport (STI/MDST), Dominican Republic	Mayaguana Airport (MYG/MYMM), Bahamas
ENR	passDomestic	14	20080104-0	Let L-410UVP-E3	Transaven	CCS	LRV	Caracas-Simón Bolívar International Airport (CCS/SVMI), Venezuela	Los Roques Airport (LRV/SVRS), Venezuela
ENR	passDomestic	2	20081219-0	Britten-Norman BN-2A-20 Islander	Air Vanuatu	OLJ	SON	Olpoi-Lajmoli Airport (OLJ/NVSZ), Vanuatu	Luganville/Espirítu Santo-Pekoa International Airport (SON/NVSS), Vanuatu
TXI	military	3	20090115-1	Ilyushin 76MD	Russian Ministry of Interior	MCX		Makhachkala Airport (MCX/URML), Russia	?
APR	passDomestic	50	20090212-0	de Havilland Canada DHC-8-402 Q400	Colgan Air	EWR	BUF	Newark-Liberty International Airport, NJ (EWR/KEWR), United States of America	Buffalo Niagara International Airport, NY (BUF/KBUF), United States of America
ENR	passDomestic	24	20090207-1	Embraer 110P1 Bandeirante	Manaus Aerotáxi	CIZ	MAO	Coari Airport, AM (CIZ/SWKO), Brazil	Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG), Brazil
LDG	exec	2	20090212-1	Dassault Falcon 100	Laret Aviation	VIE	SMV	Wien-Schwechat International Airport (VIE/LOWW), Austria	St. Moritz-Samedan Airport (SMV/LSZS), Switzerland
APR	private	5	20090215-0	HESA IrAn-140-100	HESA	IFH	IFH	Isfahan/Shahin Shahr-Hesa Air Base (IFH/OIFE), Iran	Isfahan/Shahin Shahr-Hesa Air Base (IFH/OIFE), Iran
UNK	military	5	20090218-0	Basler Turbo-67 (BT-67)	Fuerza Aérea Colombiana	PQE	PQE	Palanquero-German Olano AB (PQE/SKPQ), Colombia	Palanquero-German Olano AB (PQE/SKPQ), Colombia
TOF	other	5	20090220-0	Antonov 12B	Aerolift Company	LXR	NLV	Luxor Airport (LXR/HELX), Egypt	Nikolaev Airport (NLV/UKON), Ukraine
APR	passInternational	9	20090225-0	Boeing 737-8F2	THY Turkish Airlines	IST	AMS	Istanbul-Atatürk International Airport (IST/LTBA), Turkey	Amsterdam-Schiphol International Airport (AMS/EHAM), Netherlands
ENR	passDomestic	6	20090301-0	Beechcraft 100 King Air	Command Air	SVCS	VLV	Charallave-Oscar Machado Zuloaga Airport (SVCS), Venezuela	Valera-Carvajal Airport (VLV/SVVL), Venezuela
ENR	other	3	20090306-0	National Aerospace Laboratories (NAL) Saras	National Aerospace Laboratories (NAL)	BLR	BLR	Bangalore-Hindustan Airport (BLR/VOBG), India	Bangalore-Hindustan Airport (BLR/VOBG), India
ICL	military	1	20090306-1	GAF Nomad N.22B	Royal Thai Air Force - RTAF	VTBL	PHS	Lop Buri Air Base (VTBL), Thailand	Phitsanulok Airport (PHS/VTPP), Thailand
ICL	cargo	11	20090309-0	Ilyushin 76T	Aerolift	EBB	MGQ	Entebbe Airport (EBB/HUEN), Uganda	Mogadishu International Airport (MGQ/HCMM), Somalia
APR	military	7	20090319-0	Beechcraft 200 Super King Air	Aviación del Ejército Ecuatoriana - AEE		UIO	?	Quito-Mariscal Sucre Airport (UIO/SEQU), Ecuador
LDG	cargo	2	20090323-0	McDonnell Douglas MD-11F	FedEx Express	CAN	NRT	Guangzhou Baiyun International Airport (CAN/ZGGG), China	Tokyo-Narita Airport (NRT/RJAA), Japan
LDG	military	4	20090331-0	PZL-Mielec M28TD Bryza 2RF	Lotnictwo Marynarki Wojennej (Polish Navy)	EPOK	EPOK	Gdynia-Babie Doly Airport (EPOK), Poland	Gdynia-Babie Doly Airport (EPOK), Poland
ENR	passDomestic	7	20090402-0	Britten-Norman BN-2A Islander	Chemtrad Aviation	TUG		Tuguegarao Airport (TUG/RPUT), Philippines	Maconacon Airport, Philippines
LDG	military	24	20090406-0	Fokker F-27 Friendship 400M	Tentara Nasional Indonesia-AU (Air Force)		BDO	?	Bandung-Husein Sastranegara International Airport (BDO/WICC), Indonesia
APR	cargo	6	20090409-0	British Aerospace BAe-146-300	Aviastar Mandiri	DJJ	WMX	Jayapura-Sentani Airport (DJJ/WAJJ), Indonesia	Wamena Airport (WMX/WAJW), Indonesia
TOF	passDomestic	1	20090417-0	Cessna 208B Grand Caravan	Línea Turística Aereotuy - LTA	CAJ	PMV	Canaima Airport (CAJ/SVCN), Venezuela	Porlamar-del Caribe Santiago Mariño International Airport (PMV/SVMG), Venezuela
ENR	other	7	20090429-0	Boeing 737-275	Bako Air	BZV	HRE	Brazzaville-Maya Maya Airport (BZV/FCBB), Congo	Harare Airport (HRE/FVHA), Zimbabwe
APR	other	3	20090430-0	Antonov 2	Yakutsk ASK ROSTO	UERL	YKS	Lensk Airport (UERL), Russia	Yakutsk Airport (YKS/UEEE), Russia
LDG	other	1	20090510-0	British Aerospace 3212 Jetstream 32	private		UII	?	Utila Airport (UII/MHUT), Honduras
APR	military	99	20090520-0	Lockheed C-130H Hercules	Tentara Nasional Indonesia-AU (Air Force)	HLP	WARI	Jakarta-Halim Perdana Kusuma Airport (HLP/WIHH), Indonesia	Madiun-Iswahyudi Airport (WARI), Indonesia
APR	exec	14	20090522-0	Beechcraft B300 Super King Air 350	Santa Coloma Investimentos e Participações Ltda.	CGH	SBTV	São Paulo-Congonhas Airport, SP (CGH/SBSP), Brazil	Porto Seguro-Terravista Golf Club Airport, BA (SBTV), Brazil
APR	cargo	3	20090526-0	Antonov 26	Service Air	GOM	IRP	Goma Airport (GOM/FZNA), Congo (Democratic Republic)	Isiro-Matari Airport (IRP/FZJH), Congo (Democratic Republic)
ENR	passInternational	228	20090601-0	Airbus A330-203	Air France	GIG	CDG	Rio de Janeiro-Galeão International Airport, RJ (GIG/SBGL), Brazil	Paris-Charles de Gaulle Airport (CDG/LFPG), France
APR	passDomestic	1	20090607-0	Britten-Norman BN-2A-27 Islander	Strait Air	YBX	YHA	Lourdes-de-Blanc-Sablon Airport, QC (YBX), Canada	Port Hope Simpson Airport, NF (YHA), Canada
ENR	military	13	20090608-0	Antonov 32	Indian Air Force - IAF		MOH	Machuka Advanced Landing Ground, India	Mohanbari Air Base (MOH/VEMN), India
ENR	cargo	3	20090629-0	de Havilland Canada DHC-6 Twin Otter 300	Aviastar Mandiri	DEK	WMX	Dekai Airport (DEK), Indonesia	Wamena Airport (WMX/WAJW), Indonesia
APR	passInternational	152	20090630-0	Airbus A310-324	Yemenia Airways	SAH	HAH	San'a International Airport (SAH/ODSN), Yemen	Moroni-Prince Said Ibrahim In Airport (HAH/FMCH), Comoros
ENR	passInternational	168	20090715-0	Tupolev 154M	Caspian Airlines	IKA	EVN	Tehran-Imam Khomeini International Airport (IKA/OIIE), Iran	Yerevan Airport (EVN/UDYZ), Armenia
LDG	passDomestic	16	20090724-0	Ilyushin 62M	Aria Air	THR	MHD	Tehran-Mehrabad Airport (THR/OIII), Iran	Mashhad Airport (MHD/OIMM), Iran
ENR	passDomestic	15	20090802-0	de Havilland Canada DHC-6 Twin Otter 300	Merpati Nusantara Airlines	DJJ	OKL	Jayapura-Sentani Airport (DJJ/WAJJ), Indonesia	Oksibil Airport (OKL), Indonesia
LDG	passDomestic	1	20090804-0	ATR-72-212A (ATR-72-500)	Bangkok Airways	KBV	USM	Krabi Airport (KBV/VTSG), Thailand	Koh Samui Airport (USM/VTSM), Thailand
ENR	passDomestic	13	20090811-0	de Havilland Canada DHC-6 Twin Otter 300	Airlines PNG	POM	KKD	Port Moresby-Jackson Field (POM/AYPY), Papua New Guinea	Kokoda Airport (KKD), Papua New Guinea
ICL	other	1	20090816-0	Avcen Jetpod	Avcen	TPG	TPG	Taiping Airport (TPG/WMBI), Malaysia	Taiping Airport (TPG/WMBI), Malaysia
ICL	other	2	20090814-0	Beechcraft 99		LPEV	LPEV	Évora Airport (LPEV), Portugal	Évora Airport (LPEV), Portugal
APR	cargo	6	20090826-0	Antonov 12BK	Aero Fret Business	PNR	BZV	Pointe Noire Airport (PNR/FCPP), Congo	Brazzaville-Maya Maya Airport (BZV/FCBB), Congo
ENR	military	5	20090907-0	GAF Nomad N.24A	Tentara Nasional Indonesia-AL (Navy)	LBW	TRK	Long Bawan Airport (LBW/WRLB), Indonesia	Tarakan-Juwata Airport (TRK/WALR), Indonesia
UNK	military	7	20090922-0	Ilyushin 76MD Simorgh	Islamic Republic of Iran Air Force - IRIAF	THR	THR	Tehran-Mehrabad Airport (THR/OIII), Iran	Tehran-Mehrabad Airport (THR/OIII), Iran
APR	other	1	20091006-2	Antonov 2R	Bashmia Aero Spray			Umgalala Airstrip, Sudan	Umgalala Airstrip, Sudan
TOF	other	1	20090924-0	British Aerospace 4121 Jetstream 41	SA Airlink	DUR	PZB	Durban-Louis Botha Airport (DUR/FADN), South Africa	Pietermaritzburg Airport (PZB/FAPM), South Africa
ENR	military	11	20091009-0	CASA C-212 Aviocar 200		PAP	PAP	Port-au-Prince Airport (PAP/MTPP), Haiti	Port-au-Prince Airport (PAP/MTPP), Haiti
ICL	cargo	4	20091017-0	Douglas DC-3C (C-47D)	Victoria Air	MNL	PPS	Manila-Ninoy Aquino International Airport (MNL/RPLL), Philippines	Puerto Princesa Airport (PPS/RPVP), Philippines
ICL	cargo	6	20091021-0	Boeing 707-330C		SHJ	KRT	Sharjah Airport (SHJ/OMSJ), United Arab Emirates	Khartoum-Civil Airport (KRT/HSSS), Sudan
ENR	military	3	20091013-1	Beechcraft C-12C Huron (A200 Super King Air)	United States Army	BPM	BPM	Bagram Air Base (BPM/OAIX), Afghanistan	Bagram Air Base (BPM/OAIX), Afghanistan
APR	passDomestic	1	20091022-0	Britten-Norman BN-2A-26 Islander	Divi Divi Air	CUR	BON	Curaçao-Hato International Airport (CUR/TNCC), Netherlands Antilles	Bonaire-Flamingo International Airport (BON/TNCB), Netherlands Antilles
APR	exec	5	20091026-0	British Aerospace BAe-125-800B	S-Air	VKO	MSQ	Moskva-Vnukovo Airport (VKO/UUWW), Russia	Minsk-2 International Airport (MSQ/UMMS), Belarus
ENR	private	4	20091026-1	Beechcraft B100 King Air	Mazak Properties Inc.	UVA	LEE	Uvalde-Garner Field, TX (UVA), United States of America	Leesburg International Airport, FL (LEE/KLEE), United States of America
ENR	military	2	20091029-0	Cessna 208B Grand Caravan (C-98)	Força Aérea Brasileira - FAB	CZS	TBT	Cruzeiro do Sul-Campo Internacional Airport, AC (CZS/SBCZ), Brazil	Tabatinga Internacional Airport, AM (TBT/SBTT), Brazil
ENR	military	7	20091029-1	Lockheed HC-130H Hercules	United States Coast Guard	MCC	MCC	Sacramento-McClellan AFB, CA (MCC/KMCC), United States of America	Sacramento-McClellan AFB, CA (MCC/KMCC), United States of America
ICL	other	11	20091101-0	Ilyushin 76MD	Russian Ministry of Interior	MJZ	IKT	Mirnyy Airport (MJZ/UERR), Russia	Irkutsk Airport (IKT/UIII), Russia
ENR	military	4	20091102-1	PZL-Mielec M28-05PI Skytruck	Kepolisian Negara Republik Indonesia (Indonesian Police)	DJJ	LII	Jayapura-Sentani Airport (DJJ/WAJJ), Indonesia	Mulia Airport (LII/WABQ), Indonesia
APR	cargo	1	20091109-0	Beechcraft 1900D	Blue Bird Aviation	WIL	MGQ	Nairobi-Wilson Airport (WIL/HKNW), Kenya	Mogadishu International Airport (MGQ/HCMM), Somalia
ICL	cargo	3	20091115-0	Cessna 208B Grand Caravan		ERS	NGV	Windhoek-Eros Airport (ERS/FYWH), Namibia	Ngiva Airport (NGV/FNGI), Angola
ENR	passDomestic	2	20090207-0	Cessna 650 Citation III	Air One Executive	CIA	BLQ	Roma-Ciampino Airport (CIA/LIRA), Italy	Bologna Airport (BLQ/LIPE), Italy
ICL	military	5	20091123-0	Lockheed KC-130J Hercules	Aeronautica Militare Italiana - AMI	PSA		Pisa-Arturo dell'Oro AB (PSA/LIRP), Italy	?
TOF	cargo	3	20091128-0	McDonnell Douglas MD-11F	Avient Aviation	PVG	FRU	Shanghai-Pudong International Airport (PVG/ZSPD), China	Bishkek-Manas International Airport (FRU/UAFM), Kyrgyzstan
APR	passDomestic	2	20091209-0	Beechcraft A100 King Air	Exact Air	YVO	YRC	Val-dOr Airport, QC (YVO/CYVO), Canada	Saint-Honoré Airport, QC (YRC), Canada
ENR	other	2	20091217-0	Dassault Falcon 20D	FL Aviation Group Inc.	JBQ	FXE	Higuero/La Isabela-Dr. Joaquín Balaguer Airport (JBQ/MDJB), Dominican Republic	Fort Lauderdale-Executive Airport, FL (FXE/KFXE), United States of America
